ka,hi,en
八百屋,やおや,greengrocer
野菜,やさい,vegetable
易しい,やさしい,"easy, simple"
安い,やすい,cheap
休み,やすみ,"rest,holiday"
休む,やすむ,to rest
八つ,やっつ,eight
山,やま,mountain
,やる,to do
