ka,hi,en
,ワイシャツ,business shirt
若い,わかい,young
分かる,わかる,to be understood
忘れる,わすれる,to forget
私,わたくし,"(humble) I,myself"
私,わたし,"I,myself"
渡す,わたす,to hand over
渡る,わたる,to go across
悪い,わるい,bad
