ka,hi,en
八日,ようか,"eight days, eighth day of the month"
洋服,ようふく,western-style clothes
,よく,"often, well"
横,よこ,"beside,side,width"
四日,よっか,"four days, fouth day of the month"
四つ,よっつ,four
呼ぶ,よぶ,"to call out,to invite"
読む,よむ,to read
夜,よる,"evening,night"
弱い,よわい,weak
