ka,hi,en
一日,ついたち,first of month
使う,つかう,to use
疲れる,つかれる,to get tired
次,つぎ,next
着く,つく,to arrive at
机,つくえ,desk
作る,つくる,to make
,つける,to turn on
勤める,つとめる,to work for someone
,つまらない,boring
冷たい,つめたい,cold to the touch
強い,つよい,powerful
