ka,hi,en
帽子,ぼうし,hat
,ボールペン,ball-point pen
,ほか,"other, the rest"
,ポケット,pocket
欲しい,ほしい,want
,ポスト,post
細い,ほそい,thin
,ボタン,button
,ホテル,hotel
本,ほん,book
本棚,ほんだな,bookshelves
,ほんとう,truth
