ka,hi,en
夕方,ゆうがた,evening
夕飯,ゆうはん,dinner
郵便局,ゆうびんきょく,post office
昨夜,ゆうべ,last night
有名,ゆうめい,famous
雪,ゆき,snow
行く,ゆく,to go
,ゆっくりと,slowly
